# Pod nào bị restart / tạo lại sau fault
# phase=after  utc=20260730-180505
------------------------------------------------------------------------
POD                                              AGE                    RESTARTS   NODE                                             PHASE
37m         Warning   PolicyViolation                replicaset/fraud-detection-cdb487c44                  policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/fraud-detection-7fc4dff685                 policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:c5f6771355bb9f68a7cac48a05ea894d97ef67465a70dbba6afc45481c9c14d5: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/fraud-detection-66dc9bff85                 policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:b4797d6b16bf6a3b88ec8ddb9dbcd6c29c208e6be221f4f018af4b5f624fbc13: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/fraud-detection-5fc9bc6968                 policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:b4797d6b16bf6a3b88ec8ddb9dbcd6c29c208e6be221f4f018af4b5f624fbc13: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/fraud-detection-5fc9bc6968                 policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/fraud-detection-59467bcc99                 policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-dcf884b9                             policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-b487c75f6                            policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-8486b678c9                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-78d5865466                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-7568b47864                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-6ff5774d98                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-68cb954df4                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-5dc7c8db4c                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/flagd-5b9f5d8b9                            policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/grafana-5877d84f78                         policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:fe9bdb6513fafc2fbf15b1ec27f408fe94e58bd00c3a0ac8d4848860758623f0: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/grafana-5877d84f78                         policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
